time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-08T05:06:01.910Z,12.841802,80.157276,-67.30000305175781,24.07,,,0,network,,,,,,,,93,
2019-02-08T05:07:35.000Z,12.841802,80.157275,-67.30000305175781,24.219,,,0,network,,,,,,,,93,
2019-02-08T05:08:36.929Z,12.841814,80.157286,,24.218,,,0,network,,,,,,,,93,
2019-02-08T05:10:02.350Z,12.841815,80.157288,,23.143,,,0,network,,,,,,,,93,
2019-02-08T05:11:04.270Z,12.841811,80.157281,,23.117,,,0,network,,,,,,,,93,
2019-02-08T05:12:45.960Z,12.841815,80.157288,,23.176,,,0,network,,,,,,,,92,
2019-02-08T05:14:01.920Z,12.841815,80.157288,,23.168,,,0,network,,,,,,,,92,
2019-02-08T05:15:03.941Z,12.841815,80.157288,,23.183,,,0,network,,,,,,,,92,
2019-02-08T05:16:15.412Z,12.841815,80.157288,,23.159,,,0,network,,,,,,,,92,
2019-02-08T05:17:17.398Z,12.841815,80.157288,,23.182,,,0,network,,,,,,,,91,
2019-02-08T05:19:01.820Z,12.841815,80.157288,,23.167,,,0,network,,,,,,,,91,
2019-02-08T05:20:03.910Z,12.841795,80.157261,-67.30000305175781,22.929,,,0,network,,,,,,,,91,
2019-02-08T05:21:05.880Z,12.841816,80.157289,,24.307,,,0,network,,,,,,,,91,
2019-02-08T05:22:39.871Z,12.841803,80.157257,-67.30000305175781,23.001,,,0,network,,,,,,,,90,
2019-02-08T05:24:02.031Z,12.841794,80.157261,-67.30000305175781,22.931,,,0,network,,,,,,,,90,
2019-02-08T05:25:45.629Z,12.841802,80.157257,-67.30000305175781,23.014,,,0,network,,,,,,,,90,
2019-02-08T05:26:50.550Z,12.841794,80.157244,-67.30000305175781,22.824,,,0,network,,,,,,,,90,
2019-02-08T05:28:01.870Z,12.841793,80.157243,-67.30000305175781,22.63,,,0,network,,,,,,,,89,
2019-02-08T05:29:15.470Z,12.841805,80.157248,-67.30000305175781,24.061,,,0,network,,,,,,,,89,
